CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
GRAND THEFT,02/08/2025 06:15:00 AM,25-901423,GRAND THEFT,14Y,10 MOSS AV,Oakland,CA,POINT (-122.25096 37.81849)
BURG - COMMERCIAL,03/30/2025 02:13:00 PM,25-014093,VEHICLE THEFT - AUTO,31X,7801 CAPWELL DR,Oakland,CA,POINT (-122.20494 37.74051)
,03/22/2025 12:30:00 PM,25-902822,BURGLARY-AUTO,,1 MANILA AVE,Oakland,CA,
PETTY THEFT,04/11/2025 11:30:00 AM,25-016151,THEFT,15X,801 MCKINLEY AV,Oakland,CA,POINT (-122.24122 37.80588)
DISORDERLY CONDUCT,02/17/2025 12:00:00 PM,25-007718,FIGHT/CHALLENGE IN PUBLIC PLACE,23X,1415 35TH AV,Oakland,CA,POINT (-122.22261 37.77651)
HOMICIDE,03/21/2025 04:56:00 PM,25-012745,SC UNEXPLAINED DEATH,29X,2646 62ND AV,Oakland,CA,POINT (-122.18731 37.77059)
,03/28/2025 03:29:00 PM,25-902954,BURGLARY-AUTO,18Y,2231 23RD AVE,Oakland,CA,POINT (-122.23044 37.78999)
FELONY ASSAULT,03/29/2025 11:15:00 PM,25-014013,ASSAULT WITH FIREARM ON PERSON,32Y,10150 FOOTHILL BLVD,Oakland,CA,POINT (-122.15456 37.74519)
CURFEW & LOITERING,04/09/2025 02:24:00 PM,25-015830,TRESPASS:OCCUPY PROPERTY W/O CONSENT,26X,5031 E 10TH ST,Oakland,CA,POINT (-122.21125 37.76635)
WEAPONS,03/06/2025 05:50:00 AM,25-010219,ILLEGALLY POSSESS ANY ASSUALT WEAPON,30Y,2765 77TH AV,Oakland,CA,POINT (-122.16961 37.76686)
GRAND THEFT,03/26/2025 08:50:00 AM,25-013439,GRAND THEFT FROM PERSON,19X,1400 14TH AV,Oakland,CA,POINT (-122.24563 37.78953)
BURG - AUTO,02/28/2025 05:53:00 PM,25-901598,BURGLARY-AUTO,08X,2305 WEBSTER ST,Oakland,CA,POINT (-122.26521 37.81213)
BURG - AUTO,03/05/2025 09:20:00 AM,25-010090,BURGLARY-AUTO,31X,451 HEGENBERGER RD,Oakland,CA,POINT (-122.1972 37.73765)
ROBBERY,03/18/2025 01:15:00 PM,25-012259,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",29X,6968 FOOTHILL BLVD,Oakland,CA,POINT (-122.17426 37.7694)
STOLEN VEHICLE,01/25/2025 07:30:00 AM,25-004416,VEHICLE THEFT - AUTO,27Y,6200 BROMLEY AV,Oakland,CA,POINT (-122.19424 37.76585)
STOLEN VEHICLE,02/16/2025 10:00:00 PM,25-007565,VEHICLE THEFT - AUTO,29X,4001 ALTAMONT AV,Oakland,CA,POINT (-122.16736 37.77653)
ROBBERY,01/31/2025 08:58:00 PM,25-004870,CARJACKING - STRONGARM,19X,19TH AV & SOLANO WY,Oakland,CA,POINT (-122.24143 37.78603)
BURG - AUTO,03/11/2025 12:55:00 PM,25-902486,BURGLARY-AUTO,08X,24TH ST & TELEGRAPH AV,Oakland,CA,POINT (-122.26859 37.81344)
MISDEMEANOR ASSAULT,01/23/2025 11:00:00 PM,25-003774,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,27Y,2465 64TH AV,Oakland,CA,POINT (-122.18772 37.76827)
BURG - AUTO,01/22/2025 02:15:00 PM,25-900790,BURGLARY-AUTO,77X,HOWE ST,Oakland,CA,
PETTY THEFT,01/20/2025 12:00:00 AM,25-003083,THEFT,26Y,1245 80TH AV,Oakland,CA,POINT (-122.18414 37.75511)
FELONY ASSAULT,02/10/2025 01:05:00 AM,25-006189,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,30X,7800 LOCUST ST,Oakland,CA,POINT (-122.18211 37.75808)
PETTY THEFT,02/20/2025 12:00:00 AM,25-015650,THEFT,24Y,3456 PAXTON AV,Oakland,CA,POINT (-122.21578 37.78622)
STOLEN VEHICLE,03/08/2025 12:00:00 PM,25-010992,VEHICLE THEFT - AUTO,12X,439 49TH ST,Oakland,CA,POINT (-122.26067 37.83534)
WEAPONS,02/11/2025 06:56:00 PM,25-006540,CARRY CONCEALED WEAPON ON PERSON,31Z,100 CATRON DR,Oakland,CA,POINT (-122.17703 37.72574)
MISDEMEANOR ASSAULT,01/21/2025 10:11:00 PM,25-003306,BATTERY,22Y,3318 WISCONSIN ST,Oakland,CA,POINT (-122.19718 37.79864)
VANDALISM,02/04/2025 01:25:00 PM,25-005431,BATTERY,27Y,2148 66TH AV,Oakland,CA,POINT (-122.18966 37.76528)
BURG - AUTO,03/14/2025 10:00:00 PM,25-011822,BURGLARY-AUTO,12Y,5819 COLLEGE AV,Oakland,CA,POINT (-122.25199 37.84652)
STOLEN VEHICLE,03/31/2025 08:00:00 AM,25-014206,VEHICLE THEFT - AUTO,02X,900 MARKET ST,Oakland,CA,POINT (-122.28163 37.80378)
BURG - AUTO,02/05/2025 10:10:00 AM,25-901150,BURGLARY-AUTO,26Y,SAN LEANDRO ST & 66TH AV,Oakland,CA,POINT (-122.20078 37.75681)
RECOVERED O/S STOLEN,03/22/2025 03:32:00 PM,25-012871,VEHICLE THEFT - AUTO,33X,989 89TH AV,Oakland,CA,POINT (-122.18166 37.74736)
FELONY ASSAULT,02/14/2025 07:50:00 AM,25-006222,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,03X,800 FRANKLIN ST,Oakland,CA,POINT (-122.27243 37.79986)
STOLEN VEHICLE,03/12/2025 09:03:00 AM,25-011246,VEHICLE THEFT - AUTO,77X,707 62ND ST,Oakland,CA,POINT (-122.26902 37.84721)
PETTY THEFT,02/16/2025 02:00:00 AM,25-007344,THEFT:PERSONAL PROPERTY,30Y,2651 73RD AV,Oakland,CA,POINT (-122.17452 37.7677)
VANDALISM,01/31/2025 02:41:00 AM,25-004770,"VANDALISM [$1,000 TO UNDER $5,000] (AMENDED)",28X,4715 FLEMING AV,Oakland,CA,POINT (-122.19794 37.7803)
HOMICIDE,01/23/2025 11:38:00 AM,25-003639,SC UNEXPLAINED DEATH,13X,4442 CLAREWOOD DR,Oakland,CA,POINT (-122.23546 37.83949)
STOLEN VEHICLE,01/25/2025 08:00:00 PM,25-004956,VEHICLE THEFT - AUTO,09X,3700 HARRISON ST,Oakland,CA,POINT (-122.253 37.8206)
RECOVERED O/S STOLEN,04/05/2025 08:11:00 AM,25-015123,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,31Y,522 DOUGLAS AV,Oakland,CA,POINT (-122.18176 37.73256)
VANDALISM,01/28/2025 06:00:00 PM,25-004422,OFFENSIVE WORDS IN PUBLIC PLACE,28X,4552 VIRGINIA AV,Oakland,CA,POINT (-122.19732 37.78209)
MISDEMEANOR ASSAULT,03/02/2025 04:10:00 PM,25-009542,BATTERY,04X,1888 MARTIN LUTHER KING JR WY,Oakland,CA,POINT (-122.2742 37.80902)
STOLEN VEHICLE,03/11/2025 07:47:00 AM,25-011048,VEHICLE THEFT - AUTO,31Y,716 NEVADA ST,Oakland,CA,POINT (-122.18303 37.73787)
STOLEN VEHICLE,01/23/2025 10:00:00 PM,25-003760,VEHICLE THEFT - AUTO,30X,2317 73RD AV,Oakland,CA,POINT (-122.17901 37.76457)
PETTY THEFT,01/25/2025 09:30:00 PM,25-004065,THEFT,29X,3301 64TH AV PL,Oakland,CA,POINT (-122.17962 37.77403)
BURG - COMMERCIAL,02/22/2025 06:41:00 AM,25-008347,BURGLARY-FORCIBLE ENTRY,03X,801 FRANKLIN ST,Oakland,CA,POINT (-122.27257 37.80011)
DOMESTIC VIOLENCE,01/24/2025 11:22:00 PM,25-003855,CONTEMPT OF COURT:VIOLATE PROTECTIVE ORDER/ETC,27Y,5421 BANCROFT AV,Oakland,CA,POINT (-122.20013 37.77176)
DOMESTIC VIOLENCE,03/01/2025 03:54:00 AM,25-009362,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,34X,9400 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.17236 37.74699)
STOLEN VEHICLE,02/12/2025 09:30:00 AM,25-006700,VEHICLE THEFT - AUTO,05X,1232 19TH ST,Oakland,CA,POINT (-122.28622 37.81363)
STOLEN VEHICLE,03/28/2025 11:00:00 PM,25-013986,VEHICLE THEFT - AUTO,03X,1100 FRANKLIN ST,Oakland,CA,POINT (-122.27117 37.8019)
STOLEN VEHICLE,02/07/2025 05:00:00 PM,25-006015,VEHICLE THEFT - AUTO,22Y,3313 BURDECK DR,Oakland,CA,POINT (-122.1902 37.80746)
PETTY THEFT,04/16/2025 09:00:00 PM,25-017137,THEFT,24X,3730 SAN JUAN ST,Oakland,CA,POINT (-122.2162 37.7799)
BURG - AUTO,04/04/2025 04:00:00 AM,25-015018,BURGLARY-AUTO,03Y,651 7TH ST,Oakland,CA,POINT (-122.27919 37.80143)
BURG - AUTO,03/05/2025 08:35:00 PM,25-901855,BURGLARY-AUTO,77X,9TH ST,Oakland,CA,
VANDALISM,04/08/2025 07:56:00 PM,25-014620,FALSE REPORT OF CRIME TO SPECIFIC PEACE OFFICER,35X,2203 92ND AV,Oakland,CA,POINT (-122.16475 37.75288)
BURG - AUTO,03/15/2025 03:20:00 PM,25-011855,BURGLARY-AUTO,14X,699 BELLEVUE AV,Oakland,CA,POINT (-122.25942 37.80967)
ROBBERY,02/06/2025 03:15:00 PM,25-005766,ROBBERY-OTHER DANGEROUS WEAPON,02X,1350 7TH ST,Oakland,CA,POINT (-122.29326 37.80494)
STOLEN VEHICLE,03/02/2025 11:00:00 PM,25-010112,VEHICLE THEFT - AUTO,17Y,2111 10TH AV,Oakland,CA,POINT (-122.24295 37.79685)
STOLEN VEHICLE,02/21/2025 10:15:00 AM,25-008200,VEHICLE THEFT - AUTO,21X,2374 E 27TH ST,Oakland,CA,POINT (-122.22512 37.79289)
ROBBERY,02/16/2025 01:45:00 PM,25-007372,ROBBERY-OTHER DANGEROUS WEAPON,12X,5055 TELEGRAPH AV,Oakland,CA,POINT (-122.26242 37.83681)
FELONY ASSAULT,02/03/2025 05:18:00 PM,25-005330,ASSAULT WITH FIREARM ON PERSON,14X,137 MONTECITO AV,Oakland,CA,POINT (-122.25977 37.81164)
PETTY THEFT,03/10/2025 11:29:00 PM,25-011008,THEFT,22X,3300 FRUITVALE AV,Oakland,CA,POINT (-122.21681 37.79879)
FELONY ASSAULT,04/12/2025 03:10:00 PM,25-016343,ASSAULT,05X,929 W GRAND AV,Oakland,CA,POINT (-122.2791 37.81456)
,03/03/2025 10:11:00 AM,25-902928,MAKE/PASS FICTITIOUS CHECK,,9901 PIPPIN ST ST,Oakland,CA,POINT (-122.17949 37.73809)
ROBBERY,01/25/2025 08:21:00 PM,25-004002,ROBBERY-FIREARM,31Y,630 HEGENBERGER RD,Oakland,CA,POINT (-122.19543 37.74693)
PETTY THEFT,02/05/2025 01:39:00 PM,25-005604,PETTY THEFT:$50-,02Y,915 CAMPBELL ST,Oakland,CA,POINT (-122.29817 37.80834)
MISDEMEANOR ASSAULT,04/17/2025 05:15:00 PM,25-017091,BATTERY,30X,1739 82ND AV,Oakland,CA,POINT (-122.17477 37.75795)
ROBBERY,03/05/2025 07:15:00 AM,25-010122,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,06X,720 25TH ST,Oakland,CA,POINT (-122.27405 37.8153)
BURG - RESIDENTIAL,03/09/2025 08:30:00 AM,25-902599,BURGLARY-NO FORCE,12Y,462 60TH ST,Oakland,CA,POINT (-122.25971 37.84664)
BURG - AUTO,02/25/2025 09:10:00 AM,25-901524,BURGLARY-AUTO,24Y,3201 35TH AV,Oakland,CA,POINT (-122.20453 37.79175)
MISDEMEANOR ASSAULT,03/03/2025 10:56:00 AM,25-009672,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,01X,151 2ND ST,Oakland,CA,POINT (-122.26915 37.79321)
ROBBERY,03/18/2025 10:00:00 PM,25-012325,ROBBERY-FIREARM,35X,8200 BANCROFT AV,Oakland,CA,POINT (-122.17029 37.75997)
PETTY THEFT,03/13/2025 05:47:00 PM,25-011466,TRESPASS:OCCUPY PROPERTY W/O CONSENT,07X,3008 MYRTLE ST,Oakland,CA,POINT (-122.27732 37.8213)
VANDALISM,03/08/2025 12:03:00 PM,25-010603,VANDALISM:DEFACE PROPERTY,02X,838 13TH ST,Oakland,CA,POINT (-122.28042 37.80708)
DOMESTIC VIOLENCE,01/22/2025 04:00:00 AM,25-003344,INFLICT CRPL INJ SP/COHAB,06X,900 W MACARTHUR BLVD,Oakland,CA,POINT (-122.27489 37.82813)
ROBBERY,01/26/2025 07:31:00 PM,25-004115,VEHICLE THEFT - AUTO,12X,400 43RD ST,Oakland,CA,POINT (-122.25897 37.83192)
BURG - COMMERCIAL,02/15/2025 02:55:00 AM,25-902509,BURGLARY-NO FORCE,05Y,2001 PERALTA ST,Oakland,CA,POINT (-122.29109 37.81609)
STOLEN VEHICLE,04/06/2025 03:52:00 PM,25-015419,VEHICLE THEFT - AUTO,77X,3838 TURQUOISE WY,Oakland,CA,POINT (-122.2659 37.82786)
DOMESTIC VIOLENCE,03/24/2025 09:44:00 AM,25-013108,THEFT,06X,3737 MARTIN LUTHER KING JR WY,Oakland,CA,POINT (-122.26913 37.82696)
BURG - OTHER,03/31/2025 10:41:00 AM,25-014212,VIOLATION OF PROBATION-FELONY,23X,3820 SAN LEANDRO ST,Oakland,CA,POINT (-122.22085 37.7724)
,04/18/2025 04:52:00 PM,25-017260,CARRY CONCEALED WEAPON ON PERSON,25X,3701 GREEN ACRE RD,Oakland,CA,POINT (-122.19099 37.78677)
MISDEMEANOR ASSAULT,03/11/2025 08:55:00 PM,25-011159,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,31Y,9918 GIBRALTAR RD,Oakland,CA,POINT (-122.18809 37.73011)
BURG - AUTO,03/12/2025 09:00:00 AM,25-011211,BURGLARY-AUTO,22Y,4150 REDWOOD RD,Oakland,CA,POINT (-122.18174 37.79651)
NARCOTICS,03/18/2025 06:05:00 PM,25-012300,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,21Y,3051 SCHOOL ST,Oakland,CA,POINT (-122.21143 37.79426)
STOLEN VEHICLE,03/29/2025 05:20:00 PM,25-014024,VEHICLE THEFT - AUTO,03X,301 12TH ST,Oakland,CA,POINT (-122.26863 37.80161)
BURG - AUTO,02/03/2025 04:30:00 AM,25-901073,BURGLARY-AUTO,12Y,6451 MYSTIC ST,Oakland,CA,POINT (-122.24913 37.85153)
,04/05/2025 05:00:00 PM,25-903203,BURGLARY-AUTO,12Y,5457 KALES AVE,Oakland,CA,POINT (-122.2511 37.84105)
EMBEZZLEMENT,02/01/2025 09:00:00 PM,25-005003,DEFRAUDING AN INN-KEEPER $950 OR LESS,04X,352 14TH ST,Oakland,CA,POINT (-122.26889 37.8034)
DISORDERLY CONDUCT,01/25/2025 06:26:00 PM,25-902153,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,23X,1501 38TH AV,Oakland,CA,POINT (-122.21922 37.77571)
THREATS,01/21/2025 11:45:00 AM,25-003223,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,20X,2900 E 12TH ST,Oakland,CA,POINT (-122.23013 37.77821)
MISDEMEANOR ASSAULT,04/10/2025 03:59:00 PM,25-016001,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,05X,889 W GRAND AV,Oakland,CA,POINT (-122.27855 37.81405)
DUI,01/25/2025 06:10:00 PM,25-003983,DUI ALCOHOL/DRUGS,24X,3500 FOOTHILL BLVD,Oakland,CA,POINT (-122.21884 37.78222)
NARCOTICS,03/14/2025 05:28:00 PM,25-011718,POSSESS NARCOTIC CONTROLLED SUBSTANCE,34X,1900 89TH AV,Oakland,CA,POINT (-122.16968 37.75277)
BURG - AUTO,02/23/2025 08:00:00 PM,25-901482,BURGLARY-AUTO,12Y,5845 COLLEGE AV,Oakland,CA,POINT (-122.25202 37.84681)
BURG - AUTO,03/14/2025 09:04:00 PM,25-902229,BURGLARY-AUTO,08X,2436 VALDEZ ST,Oakland,CA,POINT (-122.26362 37.81391)
FELONY ASSAULT,02/28/2025 07:30:00 PM,25-010281,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,27X,2036 45TH AV,Oakland,CA,POINT (-122.20922 37.77572)
DISORDERLY CONDUCT,02/03/2025 03:56:00 AM,25-005184,DISTURB THE PEACE,08X,410 FAIRMOUNT AV,Oakland,CA,POINT (-122.25573 37.81913)
BURG - AUTO,01/28/2025 12:15:00 PM,25-901025,BURGLARY-AUTO,04X,1700 CASTRO ST,Oakland,CA,POINT (-122.27555 37.80892)
WEAPONS,03/04/2025 06:20:00 AM,25-009758,MISD-ILL USE OF TEAR GAS/TEAR GAS WEAPON,12X,4812 SHATTUCK AV,Oakland,CA,POINT (-122.26386 37.83536)
FELONY ASSAULT,03/23/2025 03:48:00 AM,25-012943,EXHIBIT FIREARM,35Y,11840 FOOTHILL WY,Oakland,CA,POINT (-122.13952 37.73539)
NARCOTICS,03/25/2025 11:45:00 AM,25-013299,MAINTAIN PUBLIC NUISANCE,02X,900 MARKET ST,Oakland,CA,POINT (-122.28163 37.80378)
STOLEN VEHICLE,03/05/2025 09:40:00 AM,25-010074,VEHICLE THEFT - AUTO,29X,2851 69TH AV,Oakland,CA,POINT (-122.17572 37.77049)
BURG - AUTO,02/08/2025 06:00:00 PM,25-901274,BURGLARY-AUTO,11X,581 51ST ST,Oakland,CA,POINT (-122.26339 37.83765)
STOLEN VEHICLE,03/20/2025 07:00:00 PM,25-012590,VIOLATION OF PROBATION-FELONY,26Y,6741 EASTLAWN ST,Oakland,CA,POINT (-122.19511 37.75889)
PETTY THEFT,01/28/2025 06:00:00 PM,25-004640,THEFT,06X,3303 MARKET ST,Oakland,CA,POINT (-122.27556 37.8241)
BURG - OTHER,01/26/2025 03:30:00 PM,25-004396,BURGLARY-FORCIBLE ENTRY,19X,1844 E 12TH ST,Oakland,CA,POINT (-122.24196 37.78575)
BURG - AUTO,02/21/2025 08:46:00 AM,25-008171,THEFT,02Y,864 WILLOW ST,Oakland,CA,POINT (-122.29991 37.80842)
BURG - COMMERCIAL,03/04/2025 03:45:00 AM,25-009748,VANDALISM-$400+,25X,4720 MACARTHUR BLVD,Oakland,CA,POINT (-122.18994 37.78526)
OTHER,03/21/2025 08:25:00 AM,25-012564,BATTERY,30X,7300 HOLLY ST,Oakland,CA,POINT (-122.1822 37.76188)
PETTY THEFT,01/25/2025 05:00:00 AM,25-004815,THEFT,77X,85TH AV BANCROFT,Oakland,CA,POINT (-122.16615 37.75402)
DOMESTIC VIOLENCE,02/03/2025 01:15:00 PM,25-005248,VANDALISM,04X,520 21ST ST,Oakland,CA,POINT (-122.2699 37.81041)
GRAND THEFT,03/03/2025 11:00:00 PM,25-009987,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,05X,1919 MARKET ST,Oakland,CA,POINT (-122.28007 37.81225)
STOLEN VEHICLE,03/21/2025 06:25:00 AM,25-012681,VEHICLE THEFT - AUTO,03X,1000 JACKSON ST,Oakland,CA,POINT (-122.26687 37.79934)
PETTY THEFT,04/04/2025 04:54:00 PM,25-015066,THEFT,33X,1061 ELMHURST AV,Oakland,CA,POINT (-122.1774 37.7434)
PETTY THEFT,02/04/2025 07:15:00 AM,25-902405,THEFT,77X,98TH AVE,Oakland,CA,
DOMESTIC VIOLENCE,03/13/2025 12:57:00 PM,25-011419,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,02Y,519 HENRY ST,Oakland,CA,POINT (-122.29756 37.80516)
ROBBERY,02/28/2025 06:30:00 AM,25-009223,BURGLARY-AUTO,31Y,189 98TH AV,Oakland,CA,POINT (-122.19358 37.72969)
OTHER,03/31/2025 08:00:00 PM,25-015045,EXHIBIT FIREARM,19X,E 15TH ST & 7TH AV,Oakland,CA,POINT (-122.25125 37.79493)
HOMICIDE,02/25/2025 04:21:00 PM,25-008821,SC UNEXPLAINED DEATH,17X,829 E 19TH ST,Oakland,CA,POINT (-122.24629 37.79645)
FELONY ASSAULT,04/10/2025 03:45:00 AM,25-015915,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,35X,8216 DOWLING ST,Oakland,CA,POINT (-122.16842 37.76046)
HOMICIDE,01/29/2025 12:30:00 PM,25-005270,SC UNEXPLAINED DEATH,03X,622 ALICE ST,Oakland,CA,POINT (-122.26957 37.79741)
DISORDERLY CONDUCT,02/19/2025 03:00:00 PM,24-058454,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,24X,2006 38TH AVENUE,Oakland,CA,POINT (-122.2148 37.78035)
FELONY ASSAULT,02/11/2025 12:39:00 AM,25-006343,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,10Y,900 45TH ST,Oakland,CA,POINT (-122.27314 37.83449)
PETTY THEFT,02/03/2025 09:00:00 PM,25-005630,THEFT,22Y,4002 COOLIDGE AV,Oakland,CA,POINT (-122.2035 37.80363)
STOLEN VEHICLE,02/17/2025 06:36:00 PM,25-007570,VEHICLE THEFT - AUTO,19X,1500 E 12TH ST,Oakland,CA,POINT (-122.24554 37.7882)
STOLEN VEHICLE,03/04/2025 04:45:00 PM,25-010007,VEHICLE THEFT - AUTO,05X,21ST ST & POPLAR ST,Oakland,CA,POINT (-122.28749 37.81513)
MISDEMEANOR ASSAULT,03/23/2025 02:17:00 PM,25-013003,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,02Y,3RD ST & CENTER ST,Oakland,CA,POINT (-122.29587 37.80262)
RECOVERED O/S STOLEN,03/18/2025 11:48:00 AM,25-012240,POSS STOLEN VEH/VES/ETC,24X,3700 FOOTHILL BLVD,Oakland,CA,POINT (-122.21748 37.77974)
FORCIBLE RAPE,02/21/2025 12:01:00 AM,25-011273,INFLICT CRPL INJ SP/COHAB,19X,1801 EMBARCADERO,Oakland,CA,POINT (-122.24418 37.78424)
OTHER,03/14/2025 02:08:00 AM,25-011498,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,05X,787 22ND ST,Oakland,CA,POINT (-122.27592 37.81269)
BURG - AUTO,02/04/2025 05:30:00 PM,25-902413,BURGLARY-AUTO,04X,1616 SAN PABLO AV,Oakland,CA,POINT (-122.27199 37.80659)
PETTY THEFT,01/30/2025 01:30:00 PM,25-004691,THEFT,26Y,825 69TH AV,Oakland,CA,POINT (-122.19777 37.75585)
,02/06/2025 04:00:00 PM,25-005760,EXHIBIT FIREARM,04X,682 14TH ST,Oakland,CA,POINT (-122.27694 37.80659)
FELONY ASSAULT,03/09/2025 09:20:00 PM,25-010825,EXHIBIT FIREARM,77X,556 BELLVEVUE AVENUE,Oakland,CA,POINT (-122.2562 37.80734)
DOMESTIC VIOLENCE,02/02/2025 10:20:00 PM,25-005161,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,23X,3401 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.22349 37.7761)
FELONY ASSAULT,03/27/2025 02:28:00 PM,25-013668,CARRY CONCEALED WEAPON- UNLAWFUL POSSESS,30X,1933 73RD AV,Oakland,CA,POINT (-122.18217 37.76256)
ROBBERY,02/19/2025 05:42:00 PM,25-007902,EXHIBIT FIREARM,08X,3770 TELEGRAPH AV,Oakland,CA,POINT (-122.26471 37.82662)
GRAND THEFT,02/22/2025 11:21:00 AM,25-008379,GRAND THEFT,33X,1015 82ND AV,Oakland,CA,POINT (-122.18494 37.75257)
NARCOTICS,03/21/2025 09:30:00 AM,25-012674,VIOLATION OF PROBATION-FELONY,09X,W MACARTHUR BLVD & BROADWAY,Oakland,CA,POINT (-122.25868 37.82437)
VANDALISM,03/17/2025 03:15:00 AM,25-012027,TAMPER WITH VEHICLE,25X,22 FIELDBROOK PL,Oakland,CA,POINT (-122.18093 37.79475)
BURG - AUTO,02/04/2025 06:00:00 PM,25-902383,BURGLARY-AUTO,77X,49TH ST,Oakland,CA,
STOLEN VEHICLE,02/28/2025 10:00:00 PM,25-009390,VEHICLE THEFT - AUTO,27Y,HARMON AV & 57TH AV,Oakland,CA,POINT (-122.1965 37.7697)
BURG - AUTO,02/02/2025 11:30:00 PM,25-901136,BURGLARY-AUTO,04X,1630 SAN PABLO AV,Oakland,CA,POINT (-122.27208 37.80687)
ROBBERY,02/05/2025 11:47:00 AM,25-005569,ATTEMPTED ROBBERY-STRONG-ARM,15X,280 E 18TH ST,Oakland,CA,POINT (-122.25213 37.80008)
,03/04/2025 01:22:00 AM,25-902907,THEFT BY USE OF ACCESS CARD,,CHUMBA COIN,Oakland,CA,
MISDEMEANOR ASSAULT,04/14/2025 06:48:00 PM,25-016643,BATTERY,14X,699 BELLEVUE AV,Oakland,CA,POINT (-122.25942 37.80967)
STOLEN VEHICLE,03/08/2025 07:00:00 PM,25-010702,VEHICLE THEFT - AUTO,20X,2875 GLASCOCK ST,Oakland,CA,POINT (-122.23488 37.77257)
HOMICIDE,02/25/2025 08:28:00 AM,25-008732,SC UNEXPLAINED DEATH,27X,2138 50TH AV,Oakland,CA,POINT (-122.2046 37.77439)
BURG - RESIDENTIAL,03/21/2025 12:00:00 PM,25-012811,BURGLARY-FORCIBLE ENTRY,26Y,1055 72ND AV,Oakland,CA,POINT (-122.19208 37.7569)
GRAND THEFT,01/30/2025 09:00:00 AM,25-005455,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,07X,1131 24TH ST,Oakland,CA,POINT (-122.28289 37.81706)
THREATS,04/08/2025 04:48:00 PM,25-015681,DISTURB THE PEACE,16Y,3718 EMERSON ST,Oakland,CA,POINT (-122.23059 37.80421)
BURG - AUTO,02/27/2025 06:10:00 PM,25-901951,BURGLARY-AUTO,08X,2300 BROADWAY,Oakland,CA,POINT (-122.26617 37.81233)
STOLEN VEHICLE,04/07/2025 09:00:00 PM,25-015538,VEHICLE THEFT - AUTO,05X,1651 MARKET ST,Oakland,CA,POINT (-122.28026 37.8101)
RECOVERED O/S STOLEN,03/05/2025 02:54:00 PM,25-010128,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,12X,4864 TELEGRAPH AV,Oakland,CA,POINT (-122.26269 37.83568)
PETTY THEFT,02/25/2025 02:38:00 PM,25-009661,THEFT:PERSONAL PROPERTY,19X,219 9TH AV,Oakland,CA,POINT (-122.25684 37.78718)
PETTY THEFT,02/20/2025 10:00:00 PM,25-008264,THEFT,26X,5200 E 10TH ST,Oakland,CA,POINT (-122.20991 37.76572)
DISORDERLY CONDUCT,01/23/2025 12:30:00 PM,25-003649,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,19X,1507 9TH AV,Oakland,CA,POINT (-122.2494 37.79357)
PETTY THEFT,02/10/2025 09:15:00 AM,25-903234,THEFT,09X,175 41ST ST,Oakland,CA,POINT (-122.253 37.82683)
PETTY THEFT,03/24/2025 05:00:00 PM,25-013346,THEFT,35X,8530 GOLF LINKS RD,Oakland,CA,POINT (-122.15819 37.76087)
PETTY THEFT,04/13/2025 07:00:00 AM,25-016693,THEFT,22Y,3850 LAUREL AV,Oakland,CA,POINT (-122.20025 37.79723)
PETTY THEFT,01/21/2025 11:00:00 AM,25-003648,THEFT:PERSONAL PROPERTY,22X,3426 FRUITVALE AV,Oakland,CA,POINT (-122.2159 37.79931)
BURG - RESIDENTIAL,01/19/2025 10:30:00 PM,25-002994,POSSESS/ETC BURGLARY TOOLS,19X,239 FOOTHILL BLVD,Oakland,CA,POINT (-122.25388 37.79873)
DOMESTIC VIOLENCE,02/28/2025 01:18:00 AM,25-009205,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,26Y,885 69TH AV,Oakland,CA,POINT (-122.19669 37.75654)
